CompanyID	Userid_login	LdapCompanyTypeAttribute
2224	jalday	WTYD,RESD,CSLD
2224	jeberhart	WTYD,RESD,CSLD
2224	jmartin7	WTYD,RESD,CSLD
2224	jsturm	WTYD,RESD,CSLD
2224	lbirkel	WTYD,RESD,CSLD
2224	mpuckett	WTYD,RESD,CSLD
2224	nlubecke	WTYD,RESD,CSLD
2224	rmartin4	WTYD,RESD,CSLD
2224	rstaich	WTYD,RESD,CSLD
2224	ssahota	WTYD,RESD,CSLD
2224	swillbern	WTYD,RESD,CSLD
2224	ternest	WTYD,RESD,CSLD
2224	tkennedy10	WTYD,RESD,CSLD
2226	srichard20	WTYD,RESD,CSLD
2226	tercolani	WTYD,RESD,CSLD
2278	agray3	WTYD,RESD,CSLD
2278	dkurzawski	WTYD,RESD,CSLD
2278	jhohman	WTYD,RESD,CSLD
2278	rlander	WTYD,RESD,CSLD
2278	tjarosz	WTYD,RESD,CSLD
2279	bbecker2	WTYD,RESD,CSLD
2279	bkelsey	WTYD,RESD,CSLD
2286	atolan	WTYD,RESD
2286	dkruszewsk	WTYD,RESD
2286	dmarks	WTYD,RESD
2286	jronchett1	WTYD,RESD
2286	msmid	WTYD,RESD
2286	rless	WTYD,RESD
2286	snelson	WTYD,RESD
2286	tmiller1	WTYD,RESD
2287	bblankenhe	WTYD,RESD,CSLD
2287	bgelhar	WTYD,RESD,CSLD
2287	breilly5	WTYD,RESD,CSLD
2287	dmalliet	WTYD,RESD,CSLD
2287	ghazelberg	WTYD,RESD,CSLD
2287	ghuben	WTYD,RESD,CSLD
2287	jschultz7	WTYD,RESD,CSLD
2287	lgriffin	WTYD,RESD,CSLD
2287	rhenney	WTYD,RESD,CSLD
2287	rmccarten	WTYD,RESD,CSLD
2287	shayes2	WTYD,RESD,CSLD
2287	tzuhde	WTYD,RESD,CSLD
2288	bhischke	WTYD,RESD,CSLD
2290	cburrows	WTYD,RESD,CSLD
2290	cmcmillin	WTYD,RESD,CSLD
2290	ctaylor	WTYD,RESD,CSLD
2290	DSCOTT44	WTYD,RESD,CSLD
2290	ggreene	WTYD,RESD,CSLD
2290	gsimmons1	WTYD,RESD,CSLD
2290	jross15	WTYD,RESD,CSLD
2290	jsteffey1	WTYD,RESD,CSLD
2290	mhugenschm	WTYD,RESD,CSLD
2291	adavis32	WTYD,RESD,CSLD
2291	dyaddow	WTYD,RESD,CSLD
2291	eindence	WTYD,RESD,CSLD
2291	jchadwick4	WTYD,RESD,CSLD
2291	teldridge3	WTYD,RESD,CSLD
2291	tflowers1	WTYD,RESD,CSLD
2292	acristman	WTYD,RESD,CSLD
2292	dpeterson	WTYD,RESD,CSLD
2296	eraymond	WTYD,RESD,CSLD
2296	jsmith14	WTYD,RESD,CSLD
2296	jwilliam20	WTYD,RESD,CSLD
2296	mtracy1	WTYD,RESD,CSLD
2296	rhess	WTYD,RESD,CSLD
2296	rthornton2	WTYD,RESD,CSLD
2296	wjohnson1	WTYD,RESD,CSLD
2298	acasey4	WTYD,RESD,CSLD
2298	calbert	WTYD,RESD,CSLD
2298	dmiller3	WTYD,RESD,CSLD
2298	jmayes	WTYD,RESD,CSLD
2299	jschwart11	WTYD,RESD,CSLD
2300	mvogel1	WTYD,RESD,CSLD
2304	sjohnson5	RESD,CSLD
2313	jbrooks16	WTYD,RESD,CSLD
2313	jmedina	WTYD,RESD,CSLD
2313	redwards	WTYD,RESD,CSLD
2313	rmedina4	WTYD,RESD,CSLD
2313	vnava	WTYD,RESD,CSLD
2314	cgonzales7	WTYD,RESD,CSLD
2314	fcrowe	WTYD,RESD,CSLD
2314	jelder4	WTYD,RESD,CSLD
2314	jneves3	WTYD,RESD,CSLD
2314	kfesmire1	WTYD,RESD,CSLD
